"produit_existant_a_valider";"couleur_exemple_a_valider";"taille_exemple_a_valider";"variante_reellement_vendue_oui_non";"prix_unitaire_CAD_a_confirmer";"quantite_physique_vendable";"ensemble_stock_separe_ou_partage";"notes"
"Classic Black Hoodie";"Black";"S";"";"";"";"";""
"Classic Black Hoodie";"Black";"M";"";"";"";"";""
"Classic Black Hoodie";"Black";"L";"";"";"";"";""
"Classic Black Hoodie";"Black";"XL";"";"";"";"";""
"Ocean Blue Hoodie";"Blue";"S";"";"";"";"";""
"Ocean Blue Hoodie";"Blue";"M";"";"";"";"";""
"Ocean Blue Hoodie";"Blue";"L";"";"";"";"";""
"Ocean Blue Hoodie";"Blue";"XL";"";"";"";"";""
"Rose Pink Hoodie";"Pink";"S";"";"";"";"";""
"Rose Pink Hoodie";"Pink";"M";"";"";"";"";""
"Rose Pink Hoodie";"Pink";"L";"";"";"";"";""
"Rose Pink Hoodie";"Pink";"XL";"";"";"";"";""
"Rose Pink Pants";"Pink";"S";"";"";"";"";""
"Rose Pink Pants";"Pink";"M";"";"";"";"";""
"Rose Pink Pants";"Pink";"L";"";"";"";"";""
"Rose Pink Pants";"Pink";"XL";"";"";"";"";""
"Essential Blue Pants";"Blue";"S";"";"";"";"";""
"Essential Blue Pants";"Blue";"M";"";"";"";"";""
"Essential Blue Pants";"Blue";"L";"";"";"";"";""
"Essential Blue Pants";"Blue";"XL";"";"";"";"";""
"Black Hoodie & Pants Set";"Black";"S";"";"";"";"";""
"Black Hoodie & Pants Set";"Black";"M";"";"";"";"";""
"Black Hoodie & Pants Set";"Black";"L";"";"";"";"";""
"Black Hoodie & Pants Set";"Black";"XL";"";"";"";"";""
"Blue Hoodie & Pants Set";"Blue";"S";"";"";"";"";""
"Blue Hoodie & Pants Set";"Blue";"M";"";"";"";"";""
"Blue Hoodie & Pants Set";"Blue";"L";"";"";"";"";""
"Blue Hoodie & Pants Set";"Blue";"XL";"";"";"";"";""
"Pink Hoodie & Pants Set";"Pink";"S";"";"";"";"";""
"Pink Hoodie & Pants Set";"Pink";"M";"";"";"";"";""
"Pink Hoodie & Pants Set";"Pink";"L";"";"";"";"";""
"Pink Hoodie & Pants Set";"Pink";"XL";"";"";"";"";""
